name,uid,bid,username,content,media,replycount,retweetcount,favoritecount,viewscount,createdb
PoliticsJOE,840502412842541056,1592847172910796800,PoliticsJOE_UK,"He's back.

Some of the most batshit moments from Donald Trump's announcement to run in the 2024 US Presidential election. https://t.co/3XtiHSfabk",https://video.twimg.com/amplify_video/1592846490124562434/vid/720x720/5HJ6KIf9EK-eddoI.mp4?tag=14,110,101,627,,2022-11-16 11:48:54
John Ruddick MLC,1009022579900702721,1592733077419266048,JohnRuddick2,Betfair on who will win the 2024 US presidential election. https://t.co/lkyjAExYLK,https://pbs.twimg.com/media/FhqGRTpVQAEhxN4.jpg,26,2,32,,2022-11-16 04:15:31
RJR Capital,223520770,1592715260662001667,RJRCapital,"The 2024 US Presidential Election.

Brought to you by Sunsweet Prunes, Depends Undergarments, Sanka, Reverse Mortgages, Polident, Alzheimer's Disease, and the tears of a nation.",,12,7,93,,2022-11-16 03:04:44
SBS News,8197942,1592707992356782080,SBSNews,"After months of speculation, the former president has officially announced he will be running for the Republican nominee in the 2024 US presidential election.

Read more: https://t.co/3Ry5dUxpKN https://t.co/9KAnGssV5i",https://pbs.twimg.com/media/FhpvendXwAAoUO6.jpg,16,1,15,,2022-11-16 02:35:51
NBA Slime,812699906582474752,1592707884105994242,TerryFranconia,Ron DeSantis is currently favored to win the 2024 US Presidential Election https://t.co/g8VQhltiDd,https://pbs.twimg.com/media/FhpvYFtWYAAyRb_.jpg,31,8,158,,2022-11-16 02:35:25
Kevin Edger,62576309,1592705910484635653,KEdge23,"With the #TrumpAnnouncement stating his candidacy for the US Presidential election in 2024, seems we will have a re-match.

Who will win this time? Joe Biden or Donald Trump? https://t.co/qKSHgI8Bcz",https://pbs.twimg.com/media/FhptlaJX0AEe8CR.jpg,50,2,17,,2022-11-16 02:27:34
SBS News,8197942,1592705018343223297,SBSNews,"After months of speculation, the former president has officially announced he will be running for the Republican nominee in the 2024 US presidential election.

https://t.co/gXyjRWSAMG",,9,2,6,,2022-11-16 02:24:02
Daniel Mulhall,1567967160,1592639562127671296,DanMulhall,"My Irish followers will be asleep tonight when Donald Trump is expected to announce a run for the US Presidential election in 2024,but I will be watching &amp; tweeting about what will be a seismic political event and the start of a titanic &amp; protracted struggle for the White House.",,15,8,98,,2022-11-15 22:03:56
Miles Commodore,824472044913983488,1590716692216578048,miles_commodore,"10 years ago today, the final US presidential election results were declared after Barack Obama won Florida to defeat Mitt Romney 332-206 in Electoral College votes.

The fact that Florida, Ohio, and Iowa, are firmly red now gives me hope in 2024. https://t.co/JQCI9T0aEh",https://pbs.twimg.com/media/FhNcAdXXkAAHi6v.png,15,27,235,,2022-11-10 14:43:08
Kieran Cunningham,205282903,1589961732830932994,KCsixtyseven,"2024 US Presidential election likely to be Biden v Trump again. 
Biden will be nearly 82 , Trump will be 78. It's not ageist to wonder how both parties can't find someone fresher.",,10,0,63,,2022-11-08 12:43:11
News24 🇿🇦,14697575,1588814631992164352,News24,"Donald Trump is expected to announce his candidacy for the 2024 US presidential election this month, several media outlets have reported, after the former president all but confirmed his intention to seek the White House again.

https://t.co/1vc3k4DxsL",,25,14,64,,2022-11-05 08:45:01
Al Jazeera English,4970411,1588595683375943680,AJEnglish,"Former US President Trump is expected to announce his candidacy for the 2024 US presidential election this month, several media outlets have reported https://t.co/usn9X7frZN https://t.co/xLKGHH9GFp",https://pbs.twimg.com/media/FgvEcjlWYAEK6Rs.jpg,10,31,96,,2022-11-04 18:15:00
Dr. Julian Hosp,25803102,1588523406273564673,julianhosp,"I believe the 2022 USD midterm- and 2024 US presidential election will be the reverse sweep of the 2020 election: People will vote republican NOT because they like all their ideas, but because they truly despise most of the democrats' woke ones.",,20,11,152,,2022-11-04 13:27:48
A.HODL_Bitcoin ∞/21M,3168072490,1588363885668888577,A_HODL_21m,@PierrePoilievre I’m American and I’m more excited about the 2025 Canadian election of Prime Minister than I am about the 2024 US Presidential election.,,11,0,11,,2022-11-04 02:53:55
BLYSKAVKA,1499733416874594307,1584046066780884993,blyskavka_ua,"⚡️Donald Trump hints that he is ready to participate in the US presidential election in 2024.

👉 Follow @Flash_news_ua https://t.co/wl2K6T2mnS",https://video.twimg.com/ext_tw_video/1584046009944088576/pu/vid/636x360/mx-W3G5cuVQ-OQzk.mp4?tag=12,19,9,21,,2022-10-23 04:56:27
Smarkets,14288184,1579762950537367552,smarkets,US Presidential Election: could there be a big-priced winner in 2024? https://t.co/oTE9rTScK8,,3,2,1,,2022-10-11 09:16:52
near,1128159740599656448,1579119870129582080,nearcyan,"Will the topic of AI model access/usage/data, including deepfakes, be a *major* topic in the 2024 US presidential election?",,7,3,21,,2022-10-09 14:41:30
Andreas Fulda 🇺🇦 🇹🇼,209967385,1574642336738562048,AMFChina,I wouldn’t be surprised if the 2024 US presidential election will boil down to a contest between Biden and Pompeo.,,17,3,39,,2022-09-27 06:09:23
Prof. Michael Tanchum,3310505366,1568897080864772096,michaeltanchum,"🇮🇳 India pulls out of US-led trade talks with Asian nations for 14-nation IPEF framework

➡️#IndoPacific Economic Framework (IPEF) would represent 40% of global GDP with #India included

➡️ US wants the deal signed before US presidential election season in 2024

#geoeconomics https://t.co/FUqNeL8tKU",https://pbs.twimg.com/media/FcXXOUHWYAADWtb.png,14,71,111,,2022-09-11 09:39:47
koi!!! 💜 on hiatus,921107749471219712,1567947531195400200,koidoodles,seems like this is gonna happen every two years so everyone strap in for 2024 when jeff bezos keels over and they announce voltron season 9 and reigen amasses 100k votes in the US presidential election all in the span of like 6 hours,,35,1312,9156,,2022-09-08 18:46:37
BLYSKAVKA,1499733416874594307,1564662143370366977,blyskavka_ua,"⚡️Joe Biden will participate in the 2024 US presidential election, – media.",,15,17,218,,2022-08-30 17:11:39
♋︎ 𝓟𝓸𝓴𝓲𝓙𝓪𝓬𝓸𝓫𝔂 🇺🇸🏳️‍⚧️🌴🧋✨,1514764194805035042,1560120203521839104,PokiJacoby,"2024 US Presidential Election who are you voting for?
1st Candidate wants: 
To save the country from absolute catastrophe
2nd Candidate wants:
Absolute Authoritarian Fascism
Primary RINOS like MTG and Paul Gosar https://t.co/h2DJtuoGxB","https://pbs.twimg.com/media/FaaojDcUsAAuh2i.jpg
https://pbs.twimg.com/media/FaapAbfVsAEhYc0.png",12,1,25,,2022-08-18 04:23:36
.🇵🇸,829877489149296640,1558638322460905473,ketchupsqueeze,"imagine it’s november 6 2024 and the us presidential election results are coming in at the same time that st5 drops. will confesses his love for mike, then dies and gets dragged to the upside down for eternity and #byler trends #1 above the us presidential election on twitter.",,10,16,206,,2022-08-14 02:15:08
Darren Rovell,24277551,1558181739360657414,darrenrovell,"California governor Gavin Newsom has gone from 30/1 to 14/1 to win the 2024 US presidential election on @DKSportsbook odds in Ontario in the last month.

Trump +275
DeSantis +300
Biden +600
Harris, Newsom +1400
Pence +1800
Haley, Buttigieg +2500
M. Obama +3500
H. Clinton +4000",,56,21,192,,2022-08-12 20:00:50
Stephen Koukoulas,43525891,1556813557680857088,TheKouk,"2024 US Presidential election betting:
Trump equal favourite at $4.60
DeSantis $4.60
Biden $8
Harris $18
Newsom $18
Buttigieg $25
Pence $28
M.Obama $38
Haley $46
Others $50 and a lot more.
If you can find the winner there's plenty of value",,13,4,21,,2022-08-09 01:24:11
Fox News,1367531,1555164169330204674,FoxNews,China could invade Taiwan before the 2024 US presidential election: former senior officials https://t.co/RihZFOY9Vu,,91,48,172,,2022-08-04 12:10:06
❤️‍🔥 𝓓𝓪𝓻 ❤️‍🔥,1551523351843192834,1555139085446037506,DameScorpio,"And here we are again, if Trump was President the likes of Putin and Xi wouldn’t be invading and threatening…guaranteed. China could invade Taiwan before the 2024 US presidential election: sources https://t.co/Wd3R0DUAMQ #FoxNews",,8,23,37,,2022-08-04 10:30:25
Fox News,1367531,1555108803808579585,FoxNews,China could invade Taiwan before the 2024 US presidential election: former senior officials https://t.co/pBBeFnx5lp,,112,48,168,,2022-08-04 08:30:06
Brooke Singman,1098615836,1555102378881417221,BrookeSingman,"EXCLUSIVE:#China could invade #Taiwan within the next 18 months, sources familiar w/ US &amp; allied intelligence told Fox News, suggesting a ""dangerous"" window between the meeting of the #CCP Congress in November &amp;the 2024 US presidential election
https://t.co/rmVaAwP1K4",,4,21,24,,2022-08-04 08:04:34
Patterns Tell Stories,4874646887,1552334040828633090,patternspodcast,"A friendly reminder that the recent UFO legislation is primarily sponsored by two former (and most likely future) presidential candidates from opposing political parties.

UFOs will be an issue in the 2024 US presidential election. 

It’s inevitable.

#ufotwitter #uaptwitter",,18,23,224,,2022-07-27 16:44:10
Collin Sherwin,28279060,1546943535215128577,CollinSherwin,"In Ontario, you can now bet on the 2024 US Presidential Election via @DKSportsbook https://t.co/4Z4iUcEga0",https://pbs.twimg.com/media/FXfY5VWUcAAKUcV.png,7,0,3,,2022-07-12 19:44:14
Paul Fairie,98487877,1538705850197368832,paulisci,The thing about the 2024 US presidential election that I'm most concerned about will take place in January 2025.,,4,4,28,,2022-06-20 02:10:37
FSMN,1455294902451904516,1538565092815474688,faststocknewss,HILLARY CLINTON WILL NOT RUN FOR THE US PRESIDENTIAL ELECTION IN 2024 - FT,,17,5,56,,2022-06-19 16:51:17
zerohedge,18856867,1538565026914656259,zerohedge,HILLARY CLINTON WILL NOT RUN FOR THE US PRESIDENTIAL ELECTION IN 2024 - FT,,547,314,4117,,2022-06-19 16:51:02
GB News,1339166129110065152,1538555769364398081,GBNEWS,"‘Even Donald Trump couldn’t beat Hillary Clinton next time round.’

Political commentator Paul Duddridge says he expects Hillary Clinton to run in the 2024 US presidential election.

📺 Freeview 236, Sky 515, Virgin 626

💻 GB News YouTube: https://t.co/Wa58gYGZwF https://t.co/tM85fAKPyr",https://video.twimg.com/amplify_video/1538555136146124800/vid/1280x720/UYa2VtrOk7_1Z7Ip.mp4?tag=14,98,4,26,,2022-06-19 16:14:15
